layer.1,layer.2,layer.3,layer.4,layer.5,layer.6
1241.5,1751.5,2078.5,3439.5,4027,3491
979,1473,1676,2665,3202,2744
838,1133,1361,2227,2735,2370
1045,1504,1816,2676,3274,2794
978,1433,1781,2634,3274,2752
1040.5,1490.5,1761.5,2832.5,3251.5,2713
1021.5,1262,1553,2529,3309,2740
907.5,1115.5,1442.5,2347,3329,2814
783.5,1045.5,1287.5,2185.5,3019.5,2518
805,1089,1374,2256,3144.5,2727
829.5,1124.5,1357,2234.5,3101,2717.5
817,1309,1577,2660,3388,2861
835.5,1207,1479,2519,3125.5,2612
891,1323,1541,2461,3128,2598
899.5,1278.5,1543.5,2639.5,3501,2942
1104,1645,2303,3654,3887,2800
1045,1711,1850,3019,3471,2835
1062,1623,2340,3696,3862,2617
1075,1555.5,1886.5,3024,3487.5,2877
955,1416,1677,2628,3125,2420
913,1431,1677,2505,2988,2586
912,1356,1564,2541,2862,2198
1082.5,1573.5,1902,3268.5,3794.5,3186
861.5,1191,1496,2517.5,3266.5,2610
833,1107.5,1446.5,2388,3173,2635.5
835,1140,1464,2378,3159.5,2674
845,1243.5,1523,2496,3099,2548
892,1208,1583,2664,2937,2462
999,1557,2243,3820,3982,2485
1021,1600,2243,3905,3932,2407
893.5,1280,1557,2710.5,3276,2677
872,1223,1511,2625,3340,2786
1040,1513,1941,3116,4075,2925
1143,1719,2169,3443,4428,3107
954.5,1427,1801,2964.5,3833.5,2999.5
1125,1772,2320.5,3867,4213.5,3080
873,1431,1741,2952,3637,2907
1022,1365,1744,2904,3608,3146
1064.5,1617,1933,3206,3897,3349
1108,1717,2098,3256.5,3868.5,2730
1129,1657,2159,3363,3886,3240
875,1073,1286,2176,2118,1741
970,1100,1184,1904,1946,1565
812,958,1029,1820,1575,1252
647,768.5,926.5,1615.5,2188.5,1782.5
765,982,1208,2042,2653,2273
662,798,998,1706,2285.5,1795.5
619,832,1007.5,1728,2285.5,1838
664,798,1008,1706,2272.5,1838.5
653.5,768.5,978.5,1660.5,2272.5,1809
682,974,1179,2094,2634,2181
1012,1427,1898,3234,3555,2729
978,1457,1802.5,2843.5,3504,2836.5
1010.5,1419,1836,2843,3507.5,2965.5
988.5,1409.5,1792.5,2811.5,3480.5,2918
1010.5,1473,1809,2875.5,3612.5,2959.5
1022,1473,1851,2908.5,3691.5,3007.5
1022,1394.5,1746.5,2647.5,3635.5,3256
1097,1520.5,1780.5,2911.5,3750.5,3256
916.5,1401,1878.5,2944,3381.5,2370.5
937.5,1379,1913,2942,3357,2332
1053,1503,1917,2838,3499,2661
1008,1301,1643,2662,3371,2890
857,964,1179,2040,2740,2421
857,1120,1524,2441,3217,2713
